event_type,protein_id, protein parent id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length,m,w,h,c,f
 ,96,96,5397,12,0,11,65,120,10541,0.4,0.00285714,-0.16129,0.6,functional
 ,95,95,5462,21,0,11,39,120,10541,0.792564,0.00741935,0.433071,0.6,functional
 ,94,94,5501,34,0,11,78,120,10541,0.849084,0.00796477,0.102674,0.6,functional
 ,93,93,5579,20,0,11,86,120,10541,0.349206,0.00666667,0.497556,0.6,functional
 ,92,92,5665,17,0,11,115,120,10541,0.629921,0.00714286,0.496063,0.4,functional
 ,39,39,5691,9,0,3,392,120,10541,0,0.00333333,-0.677419,0.4,functional
 ,91,91,5780,28,0,11,67,120,10541,0.370079,0.00685039,0.506806,0.4,functional
 ,90,90,5847,22,0,11,109,120,10541,0.629921,0.00677419,0.478006,0.4,functional
 ,89,89,5956,36,0,11,65,120,10541,0.323077,0.00747421,0.781036,0.4,functional
 ,88,88,6021,13,0,11,105,120,10541,0.666667,0.01,0.612903,0.4,functional
 ,87,87,6126,18,0,7,38,120,10541,0.314961,0.008,0.559055,0.4,functional
 ,86,86,6164,14,0,7,73,120,10541,0.866667,0.00333333,0.047619,0.4,functional
 ,40,40,6194,12,0,4,503,120,10541,0.761905,0.01,1,0.2,functional
 ,85,85,6237,5,0,7,46,120,10541,1,0,-1,0.4,non functional
 ,84,84,6283,4,0,7,736,120,10541,1,0,-1,0.4,non functional
 ,41,41,6304,29,0,4,110,120,10541,0.822621,0.01,0.778293,0.4,functional
 ,42,42,6366,15,0,4,62,120,10541,0.266667,0.01,0.529412,0.4,functional
 ,43,43,6453,7,0,4,87,120,10541,0.8,0.01,1,0.4,functional
 ,44,44,6528,19,0,2,75,120,10541,0.587302,0.00714286,0.517107,0.6,functional
 ,45,45,6615,36,0,4,87,120,10541,0.16047,0.0098045,0.0819632,0.2,functional
 ,46,46,6683,8,0,4,68,120,10541,0.666667,0.00333333,-0.733333,0.2,functional
 ,47,47,6746,22,0,4,63,120,10541,0.77048,0.01,1,0.2,functional
 ,48,48,6793,5,0,4,47,120,10541,0.5,0.00428571,-1,0.2,non functional
 ,83,83,7019,19,0,9,87,120,10541,0.654902,0.00933333,0.496063,0.4,functional
 ,82,82,7106,48,0,9,3,120,10541,0.698019,0.00972603,0.574169,0.4,functional
 ,81,81,7109,49,0,9,56,120,10541,0.698019,0.00972603,-0.212915,0.4,functional
 ,80,80,7165,14,0,9,54,120,10541,0.285714,0.01,0.513725,0.4,functional
 ,79,79,7219,4,0,9,69,120,10541,0.666667,0.01,1,0.4,functional
 ,78,78,7288,5,0,9,129,120,10541,0.714286,0.01,1,0.4,functional
 ,77,77,7417,20,0,9,48,120,10541,0.580645,0.00714286,0.510763,0.2,functional
 ,76,76,7465,36,0,9,68,120,10541,0.285714,0.00205279,-0.193399,0.2,functional
 ,75,75,7533,15,0,9,3,120,10541,0.874016,0.01,0.483871,0.2,functional
 ,74,74,7536,16,0,9,48,120,10541,0.874016,0.01,-0.269841,0.2,functional
 ,73,73,7584,10,0,12,57,120,10541,0.755906,0.01,1,0.2,functional
 ,72,72,7641,29,0,12,314,120,10541,0.187867,0.00988235,0.155556,0.2,functional
 ,49,49,7666,21,0,4,873,120,10541,0.393346,0.00333333,0.121569,0.6,functional
 ,50,50,7743,23,0,4,77,120,10541,0.783969,0.01,0.706458,0.6,functional
 ,71,71,7955,24,0,16,83,120,10541,0.606654,0.00571429,0.464225,0.4,functional
 ,70,70,8038,5,0,16,35,120,10541,0,0.00666667,-1,0.4,functional
 ,69,69,8073,39,0,16,604,120,10541,0.846642,0.00325513,0.104913,0.4,functional
 ,51,51,8124,28,0,4,381,120,10541,0.369863,0.000939335,-0.186706,0.2,functional
 ,52,52,8142,22,0,4,18,120,10541,0.369863,0.00761905,0.496063,0.2,functional
 ,68,68,8677,17,0,14,127,120,10541,0.645161,0.00733333,0.443137,0.4,functional
 ,67,67,8804,30,0,14,35,120,10541,0.560784,0.00748031,0.472213,0.4,functional
 ,66,66,8839,18,0,14,451,120,10541,0.645161,0.00714286,0.478006,0.4,functional
 ,53,53,8917,16,0,3,775,120,10541,0.714286,0.00301587,-0.181102,0.4,functional
 ,54,54,9003,26,0,4,86,120,10541,0.376471,0.01,0.515388,0.2,functional
 ,65,65,9290,34,0,14,304,120,10541,0.342466,0.00600196,0.750053,0.2,functional
 ,64,64,9594,10,0,12,65,120,10541,0.266667,0.00428571,-0.428571,0.2,functional
 ,63,63,9659,10,0,12,298,120,10541,0.774194,0.01,1,0.2,functional
 ,55,55,9699,11,0,2,696,120,10541,0.4,0.01,0.52381,0.6,functional
 ,56,56,9800,20,0,3,101,120,10541,0.637795,0.00666667,0.438202,0.4,functional
 ,62,62,9957,33,0,9,134,120,10541,0.276637,0.0067319,0.221022,0.6,functional
 ,61,61,10091,27,0,9,36,120,10541,0.612903,0.00831373,0.574193,0.6,functional
 ,60,60,10127,39,0,9,572,120,10541,0.653543,0.00698168,-0.0245962,0.6,functional
 ,57,57,10192,32,0,2,392,120,10541,0.355154,0.0060274,0.442735,0.6,functional
 ,58,58,10263,27,0,2,71,120,10541,0.72407,0.00826772,0.441133,0.6,functional
 ,59,59,10403,12,0,4,454,120,10541,0.225806,0.01,0.460317,0.2,functional
